service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
lock.unlock,lock.wintergarten,Wintergartenschloss,lock.wintergaten,Entsperre bitte das Wintergartenschloss.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.wintergaten', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Versuche es jetzt mit dem richtigen Gerät lock.wintergarten.
light.turn_off,light.upstairs_fireplace_zwave,Kaminlicht im Obergeschoss,light.upstairs_fireplace_z,Schalte das Kaminlicht im Obergeschoss aus.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.upstairs_fireplace_z', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit dem korrekten Gerät."
climate.turn_on,climate.emerson_sensi_touch,Emerson Sensi Touch WLAN-Thermostat,climate.emerson_sensi_touch_plus,Bitte das Thermostat einschalten.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.emerson_sensi_touch_plus', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es erneut mit dem richtigen Gerät."
vacuum.return_to_base,vacuum.downstairs_guest_room,Staubsauger im Gästezimmer im Erdgeschoss,vacuum.guestroom_downstairs,Kannst du den Staubsauger im Gästezimmer im Erdgeschoss zur Ladestation zurückfahren?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.guestroom_downstairs', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Verstanden, ich versuche es jetzt mit dem Gerät 'vacuum.downstairs_guest_room'."
switch.turn_off,switch.spielzimmer_lichter,Lichtschalter für Spielzimmer,switch.spielzimmer_lichtern,Schalte bitte das Licht im Spielzimmer aus.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.spielzimmer_lichtern', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entschuldigung, ich versuche es jetzt mit dem richtigen Schalter."
climate.set_temperature,climate.trane_comfortlink_ii,Trane ComfortLink II XL1050,climate.trane_comfortlink_ii_extra,Bitte stelle die Temperatur auf <temp_f> Grad ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.trane_comfortlink_ii_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich probiere es mit dem richtigen Gerät."
light.toggle,light.downstairs_mancave_homekit,Menschenhöhlenlicht im Erdgeschoss,light.downstairs_mancave_homekit_v2,Schalte das Menschenhöhlenlicht im Erdgeschoss ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.downstairs_mancave_homekit_v2', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Verstanden, ich probiere jetzt das Menschenhöhlenlicht im Erdgeschoss."
media_player.volume_down,media_player.playstation_5,Sony PS5,media_player.playstation_5x,"Hey, kannst du die Lautstärke meiner Sony PS5 leiser machen?","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.playstation_5x', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es mit dem richtigen Gerät."
light.turn_on,light.front_library_ge,Vordere Bibliotheksleuchte,light.front_librar_ge,Schalte bitte das Licht in der vorderen Bibliothek ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.front_librar_ge', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Versuche es jetzt mit der Vordere Bibliotheksleuchte.
media_player.turn_on,media_player.roku_schlafzimmer,Roku-Hauptschlafzimmer,media_player.roku_schlafzimmer_alt,Bitte schalte das Roku im Hauptschlafzimmer ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.roku_schlafzimmer_alt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Verstanden, ich versuche es jetzt mit dem richtigen Gerät."
fan.turn_off,fan.küche,Küchenventilator,fan.küchevent,Schalte den Küchenventilator aus.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.küchevent', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem Küchenventilator."
vacuum.start,vacuum.front_hall_samsung,Kehrender Bot in der Eingangshalle,vacuum.front_hall_samsungs,Bitte starte den Kehrenden Bot in der Eingangshalle.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.front_hall_samsungs', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Verstanden, ich versuche es jetzt mit dem richtigen Gerät."
blinds.open_cover,blinds.flur,Flurjalousien,blinds.flur_jalousien,Öffne die Jalousien im Flur.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.flur_jalousien', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es mit den Flurjalousien."
light.toggle,light.downstairs_arcade_homekit,Arcade-Licht im Erdgeschoss,light.downstairs_arcade_homekit_v2,Schalte das Arcade-Licht im Erdgeschoss bitte um.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.downstairs_arcade_homekit_v2', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit dem korrekten Gerät."
blinds.open_cover,blinds.gäste_wc,Jalousien für das Gästebad,blinds.wc_gäste,Öffne die Jalousien im Gäste‑WC.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.wc_gäste', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit den Jalousien für das Gästebad."
switch.toggle,switch.sicherheitssystem,Schalter des Sicherheitssystems,switch.sicherheitssysteme,Schalte bitte den Schalter des Sicherheitssystems um.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.sicherheitssysteme', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich probiere es mit dem korrekten Gerät."
climate.turn_on,climate.trane_comfortlink_ii,Trane ComfortLink II XL1050,climate.trane_comfortlink_iii,Schalte bitte die Klimaanlage ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.trane_comfortlink_iii', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich probiere es jetzt mit dem richtigen Gerät."
fan.toggle,fan.terrasse,Terrassenventilator,fan.terrassenz,Schalte den Terrassenventilator bitte ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.terrassenz', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich probiere es jetzt mit dem Terrassenventilator."
lock.lock,lock.werkzeugschuppen,Schloss für Geräteschuppen,lock.werkzeugschupen,Bitte schließe das Schloss für den Geräteschuppen.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.werkzeugschupen', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Verstanden, ich probiere es jetzt mit lock.werkzeugschuppen."
lock.unlock,lock.pool_gate,Pooltorschloss,lock.pool_gate_main,Bitte entsperre das Pooltorschloss.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.pool_gate_main', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem richtigen Gerät lock.pool_gate."
media_player.media_play_pause,media_player.denon_av_receiver,Denon Audio-Video-Receiver,media_player.denon_av_rec,Bitte spiele oder pausiere die Musik auf dem Receiver,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.denon_av_rec', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem richtigen Gerät."
fan.turn_on,fan.schlafzimmer,Schlafzimmerventilator,fan.schlummerzimmer,Bitte schalte den Ventilator im Schlafzimmer ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.schlummerzimmer', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entschuldigung, ich versuche es mit dem Schlafzimmerventilator."
switch.turn_off,switch.outdoor_security_lights,Schalter für Sicherheitsbeleuchtung im Außenbereich,switch.outdoor_security_light,Bitte schalte die Sicherheitsbeleuchtung im Außenbereich aus.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.outdoor_security_light', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entschuldigung, ich versuche es jetzt mit dem korrekten Schalter."
vacuum.return_to_base,vacuum.smart_home_automator,Smart-Home-Reinigungsbot,vacuum.smart_home_automat,Bitte bringe den Staubsauger zurück zur Ladestation.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.smart_home_automat', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entschuldigung, ich versuche es jetzt mit dem richtigen Gerät."
fan.turn_on,fan.schlafzimmer,Schlafzimmerventilator,fan.schlafzimmer_extra,Schalte den Schlafzimmerventilator bitte ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.schlafzimmer_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem Schlafzimmerventilator."
light.turn_on,light.upstairs_study_zwave,Arbeitszimmerlampe im Obergeschoss,light.upstairs_stud_zwave,Schalte bitte das Licht im Arbeitszimmer ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.upstairs_stud_zwave', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit der Arbeitszimmerlampe im Obergeschoss."
climate.set_temperature,climate.bosch_bcc100,Bosch BCC100 Connected Control,climate.bosch_ccb100,Stelle die Temperatur auf <temp_f> Grad ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.bosch_ccb100', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem richtigen Gerät."
light.toggle,light.front_study_homekit,Vorderes Studienlicht,light.front_study_homekit_v2,Schalte das Vorderes Studienlicht um.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.front_study_homekit_v2', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es mit dem Vorderen Studienlicht."
fan.turn_on,fan.wohnzimmer_mitte,Zentraler Wohnzimmerventilator,fan.wohnzimmer_mitte_alt,Kannst du bitte den zentralen Wohnzimmerventilator einschalten?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.wohnzimmer_mitte_alt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem richtigen Gerät."
climate.set_temperature,climate.emerson_sensi_touch,Emerson Sensi Touch WLAN-Thermostat,climate.emer_sensi_touch,Stelle die Temperatur auf <temp_f> Grad ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.emer_sensi_touch', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit dem Emerson Sensi Touch WLAN‑Thermostat."
blinds.close_cover,blinds.somfy_living,Wohnzimmerjalousien,blinds.somfy_livng,Schließe bitte die Wohnzimmerjalousien.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.somfy_livng', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es mit dem richtigen Gerät."
fan.decrease_speed,fan.esszimmer,Esszimmerventilator,fan.esszimmervent,Kannst du bitte die Geschwindigkeit des Esszimmerventilators reduzieren?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.esszimmervent', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich probiere es jetzt mit dem richtigen Gerät."
fan.turn_on,fan.badezimmer,Badezimmerventilator,fan.badezimm,Bitte schalte den Badezimmerventilator ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.badezimm', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit dem Badezimmerventilator."
light.turn_on,light.downstairs_office_mqtt,Bürolicht im Erdgeschoss,light.downstairs_offic_mqtt,Schalte das Bürolicht im Erdgeschoss ein.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.downstairs_offic_mqtt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich probiere es mit dem richtigen Gerät erneut."
climate.turn_on,climate.carrier_cor,Carrier Cor WLAN-Thermostat,climate.carrier_core,Bitte das Klima im Wohnzimmer einschalten.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.carrier_core', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Versuche es jetzt mit dem korrekten Gerät climate.carrier_cor.
media_player.media_play_pause,media_player.roku_schlafzimmer,Schlafzimmer-Roku-Spieler,media_player.roku_zimmer_schlaf,Spiele das Video auf dem Schlafzimmer-Roku-Spieler ab.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.roku_zimmer_schlaf', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Alles klar, ich versuche es jetzt mit dem richtigen Gerät."
media_player.turn_off,media_player.chrome_cast_schlafzimmer,Schlafzimmer-Chromecast,media_player.chromecast_schlafzimmer,Schalte das Schlafzimmer-Chromecast aus.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.chromecast_schlafzimmer', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit dem richtigen Gerät."
garage_door.toggle,garage_door.weinkeller,Weinkellertür,garage_door.weinkeller_tür,Öffne die Weinkellertür.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.weinkeller_tür', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Okay, ich versuche es jetzt mit der richtigen Weinkellertür."
