service,response_starting,response_confirmed,persona,short
climate.set_hvac_mode,Wechsle in den <hvac_mode>-Modus.,Der <hvac_mode>-Modus ist jetzt aktiv.,assistant,0
climate.set_hvac_mode,HVAC wird auf <hvac_mode> eingestellt.,HVAC ist jetzt auf <hvac_mode> eingestellt.,assistant,0
climate.set_temperature,Stelle die Temperatur auf <temp_f> Grad ein.,Temperatur ist jetzt auf <temp_f> Grad eingestellt.,assistant,0
climate.set_hvac_mode,Wechsle die HLK-Anlage in den <hvac_mode>-Modus.,Die HLK-Anlage ist jetzt im <hvac_mode>-Modus.,assistant,0
climate.set_temperature,Temperatur wird auf <temp_c> Celsius geändert.,Temperatur wurde auf <temp_c> Celsius geändert.,assistant,0
climate.set_temperature,Stelle den Raum auf <temp_f> Grad Fahrenheit ein.,Der Raum ist jetzt auf <temp_f> Grad Fahrenheit eingestellt.,assistant,0
climate.set_temperature,"Um es wärmer zu machen, stelle ich die Temperatur jetzt auf <temp_f> Grad ein.","Um es wärmer zu machen, habe ich die Temperatur auf <temp_f> Grad eingestellt.",assistant,0
climate.set_temperature,Stelle die Temperatur jetzt auf <temp_f> Grad Fahrenheit ein.,Die Temperatur ist jetzt auf <temp_f> Grad Fahrenheit eingestellt.,assistant,0
climate.set_temperature,"Stelle den Raum auf <temp_c> Grad Celsius ein, um eine kühlere Temperatur zu erzielen.","Der Raum ist jetzt auf <temp_c> Grad Celsius eingestellt, um eine kühlere Temperatur zu erzielen.",assistant,0
fan.turn_on,Schalte den Ventilator jetzt ein.,Der Ventilator ist jetzt eingeschaltet.,assistant,0
fan.turn_on,Ich bringe den Ventilator jetzt in Gang.,Der Ventilator ist jetzt in Gang.,assistant,0
climate.set_temperature,Erhöhe die Temperatur auf <temp_f> Grad Fahrenheit.,Die Temperatur wurde auf <temp_f> Grad Fahrenheit erhöht.,assistant,0
climate.set_temperature,Senkung der Temperatur auf <temp_c> Celsius wird gestartet.,Temperatur auf <temp_c> Celsius gesenkt.,assistant,0
fan.turn_on,"Klar, ich schalte jetzt den Ventilator ein.","Klar, der Ventilator ist jetzt eingeschaltet.",assistant,0
fan.turn_off,Ich schalte den Ventilator jetzt aus.,Der Ventilator ist jetzt aus.,assistant,0
fan.turn_off,Schalte den Lüfter jetzt aus.,Der Lüfter ist jetzt ausgeschaltet.,assistant,0
fan.turn_off,"Okay, schalte den Ventilator gleich aus.",Der Ventilator ist jetzt aus.,assistant,0
fan.toggle,Ich schalte den Lüfterstatus für Sie um.,Der Lüfterstatus wurde für Sie umgeschaltet.,assistant,0
fan.toggle,Ändere den Status des Lüfters für Sie.,Der Status des Lüfters wurde geändert.,assistant,0
fan.toggle,Schalte jetzt den Lüfter um.,Der Lüfter ist jetzt umgeschaltet.,assistant,0
fan.increase_speed,Erhöhe die Lüftergeschwindigkeit jetzt für Sie.,Die Lüftergeschwindigkeit wurde erhöht.,assistant,0
fan.increase_speed,Ich mache den Lüfter jetzt schneller.,Der Lüfter ist jetzt schneller.,assistant,0
fan.increase_speed,"Klar, ich drehe den Lüfter gerade auf.",Der Lüfter ist jetzt auf.,assistant,0
fan.decrease_speed,Reduzieren Sie die Lüftergeschwindigkeit jetzt.,Die Lüftergeschwindigkeit wurde wie gewünscht reduziert.,assistant,0
fan.decrease_speed,Ich drossle gerade den Lüfter für dich.,Der Lüfter ist jetzt gedrosselt.,assistant,0
fan.decrease_speed,"Sicher, ich verringere die Lüftergeschwindigkeit.",Die Lüftergeschwindigkeit wurde verringert.,assistant,0
fan.toggle,Der Status von <device_name> wird für Sie gerade umgedreht.,Der Status von <device_name> wurde umgedreht.,assistant,0
fan.toggle,Der Status von <device_name> wird jetzt geändert.,Der Status von <device_name> wurde wie gewünscht geändert.,assistant,0
fan.toggle,<device_name> wird jetzt umgeschaltet,<device_name> wurde umgeschaltet,assistant,0
fan.turn_on,<device_name> wird gerade aktiviert,<device_name> ist jetzt aktiviert,assistant,0
fan.turn_on,Starte <device_name> für Sie.,<device_name> ist jetzt gestartet.,assistant,0
fan.turn_on,"Sicherlich, starte <device_name> jetzt.","Sicherlich, <device_name> wurde gestartet.",assistant,0
fan.turn_on,<device_name> wird jetzt gestartet.,<device_name> wurde gestartet.,assistant,0
fan.turn_on,<device_name> wird jetzt aktiviert,<device_name> ist jetzt aktiviert,assistant,0
fan.turn_off,Deaktivieren von <device_name> läuft.,Deaktivieren von <device_name> ist abgeschlossen.,assistant,0
fan.turn_off,<device_name> wird jetzt ausgeschaltet,<device_name> ist jetzt ausgeschaltet,assistant,0
fan.decrease_speed,Reduziere die Geschwindigkeit von <device_name>.,Die Geschwindigkeit von <device_name> wurde reduziert.,assistant,0
fan.turn_off,Stoppe <device_name> für Sie.,<device_name> ist gestoppt.,assistant,0
fan.turn_off,Sicherlich wird <device_name> jetzt gestoppt.,Sicherlich ist <device_name> gestoppt.,assistant,0
fan.decrease_speed,Verringere die Geschwindigkeit von <device_name> jetzt.,Die Geschwindigkeit von <device_name> wurde wie gewünscht verringert.,assistant,0
fan.decrease_speed,<device_name> wird jetzt für Sie langsamer,<device_name> ist jetzt langsamer,assistant,0
fan.increase_speed,Erhöhe die Geschwindigkeit von <device_name>.,Geschwindigkeit von <device_name> erhöht.,assistant,0
fan.increase_speed,Beschleunige <device_name> jetzt für Sie.,Ich habe <device_name> beschleunigt.,assistant,0
fan.increase_speed,Die Geschwindigkeit von <device_name> wird jetzt erhöht,Die Geschwindigkeit von <device_name> wurde erhöht,assistant,0
fan.increase_speed,Ich erhöhe die Geschwindigkeit von <device_name>.,Geschwindigkeit von <device_name> erhöht.,assistant,0
fan.decrease_speed,Reduziere die Geschwindigkeit von <device_name>.,Die Geschwindigkeit von <device_name> wurde reduziert.,assistant,0
garage_door.open_cover,"Klar, ich öffne das Garagentor.",Das Garagentor ist jetzt geöffnet.,assistant,0
garage_door.open_cover,Wir öffnen das Garagentor jetzt für Sie.,Das Garagentor ist jetzt geöffnet.,assistant,0
garage_door.open_cover,Ich öffne gerade das Garagentor.,Das Garagentor ist jetzt geöffnet.,assistant,0
garage_door.close_cover,Schließe das Garagentor jetzt.,Das Garagentor ist jetzt geschlossen.,assistant,0
garage_door.close_cover,"Klar, schließe das Garagentor jetzt.","Klar, das Garagentor ist jetzt geschlossen.",assistant,0
garage_door.stop_cover,Ich stoppe jetzt das Garagentor.,Das Garagentor ist gestoppt.,assistant,0
garage_door.close_cover,Ich schließe das Garagentor jetzt für dich.,Das Garagentor ist jetzt geschlossen.,assistant,0
garage_door.stop_cover,Ich halte das Garagentor gerade für dich an.,Ich habe das Garagentor für dich angehalten.,assistant,0
garage_door.toggle,Ich ändere gerade den Zustand des Garagentors.,Der Zustand des Garagentors wurde geändert.,assistant,0
garage_door.stop_cover,"Klar, halte die Bewegung des Garagentors jetzt an.","Klar, die Bewegung des Garagentors ist angehalten.",assistant,0
garage_door.toggle,Den Zustand des Garagentors für Sie ändere ich gerade.,Den Zustand des Garagentors für Sie geändert.,assistant,0
garage_door.toggle,Schalte den Garagentorstatus jetzt für Sie um.,Der Garagentorstatus wurde umgeschaltet.,assistant,0
garage_door.open_cover,Ich hebe <device_name> für Sie an,<device_name> wurde für Sie angehoben,assistant,0
garage_door.open_cover,Ich öffne <device_name> jetzt.,<device_name> ist jetzt geöffnet.,assistant,0
garage_door.open_cover,Löse <device_name> wie angefordert aus.,<device_name> wurde wie angefordert ausgelöst.,assistant,0
garage_door.stop_cover,Die Position von <device_name> wird gerade eingefroren.,Die Position von <device_name> wurde eingefroren.,assistant,0
garage_door.stop_cover,<device_name> wird jetzt angehalten,<device_name> ist angehalten,assistant,0
garage_door.open_cover,open_cover Öffne <device_name> jetzt.,open_cover <device_name> ist jetzt geöffnet.,assistant,0
garage_door.stop_cover,<device_name>-Vorgang wird angehalten,<device_name>-Vorgang wurde angehalten,assistant,0
garage_door.close_cover,Schließe <device_name> jetzt.,<device_name> ist jetzt geschlossen.,assistant,0
garage_door.close_cover,<device_name> wird für Sie gesenkt,<device_name> wurde für Sie gesenkt,assistant,0
garage_door.stop_cover,stop_cover,stop_cover completed.,assistant,0
garage_door.close_cover,<device_name> wird close_cover,<device_name> ist geschlossen,assistant,0
garage_door.close_cover,.close_cover <device_name> wird gerade heruntergefahren,.close_cover <device_name> wurde wie gewünscht heruntergefahren,assistant,0
garage_door.toggle,.toggle Status von <device_name> wird jetzt umgedreht,.toggle Status von <device_name> wurde umgedreht,assistant,0
garage_door.toggle,<device_name> wird jetzt für Sie umgeschaltet,<device_name> wurde für Sie umgeschaltet,assistant,0
garage_door.toggle,<device_name> wird umgeschaltet,<device_name> ist umgeschaltet,assistant,0
light.turn_on,Ich schalte das Licht für dich an.,Das Licht ist jetzt an.,assistant,0
light.turn_on,"Klar, ich schalte das Licht jetzt an.","Klar, das Licht ist jetzt an.",assistant,0
light.turn_on,Ich schalte das Licht jetzt an.,Das Licht ist jetzt an.,assistant,0
light.turn_off,Schalte das Licht jetzt aus.,Das Licht ist jetzt ausgeschaltet.,assistant,0
light.turn_off,"Klar, schalte das Licht jetzt aus.","Klar, das Licht ist jetzt aus.",assistant,0
light.turn_off,Ich mache das Licht jetzt aus.,Das Licht ist jetzt aus.,assistant,0
light.toggle,Schalte das Licht jetzt ein.,Das Licht ist jetzt eingeschaltet.,assistant,0
light.toggle,Schalte das Licht gerade für dich ein.,Das Licht ist jetzt für dich eingeschaltet.,assistant,0
light.toggle,Ich ändere jetzt den Status des Lichts.,Der Status des Lichts wurde geändert.,assistant,0
light.toggle,Den <device_name>-Status kehre ich jetzt um.,Den <device_name>-Status habe ich umgekehrt.,assistant,0
light.toggle,Schalte <device_name> jetzt um.,<device_name> ist jetzt umgeschaltet.,assistant,0
light.toggle,Schalte <device_name> jetzt um.,<device_name> wurde umgeschaltet.,assistant,0
light.toggle,Der Status von <device_name> wird jetzt geändert.,Der Status von <device_name> wurde wie gewünscht geändert.,assistant,0
light.turn_on,Aktivierung von <device_name> wird gestartet.,Aktivierung von <device_name> abgeschlossen.,assistant,0
light.turn_on,Ich schalte gerade <device_name> ein.,"Natürlich, <device_name> ist jetzt eingeschaltet.",assistant,0
light.turn_on,<device_name> wird jetzt aktiviert,<device_name> ist jetzt aktiviert,assistant,0
light.turn_on,<device_name> wird jetzt für Sie aktiviert.,<device_name> wurde für Sie aktiviert.,assistant,0
light.turn_on,<device_name> wird jetzt aktiviert,<device_name> wurde aktiviert,assistant,0
light.turn_on,Ich stelle die Helligkeit von <device_name> auf <brightness> % ein.,Die Helligkeit von <device_name> ist jetzt auf <brightness> % eingestellt.,assistant,0
light.turn_on,Beep Passe die Helligkeit von <device_name> auf <brightness> an.,Beep Die Helligkeit von <device_name> wurde auf <brightness> angepasst.,assistant,0
light.turn_on,Erhöhe gerade die Helligkeit von <device_name> auf <brightness>.,Die Helligkeit von <device_name> wurde auf <brightness> erhöht.,assistant,0
light.turn_on,Dimme <device_name> auf <brightness> % Helligkeit.,Dimmen von <device_name> auf <brightness> % Helligkeit abgeschlossen.,assistant,0
light.turn_on,Verringere die Helligkeit von <device_name> auf <brightness>.,Die Helligkeit von <device_name> wurde auf <brightness> verringert.,assistant,0
light.turn_on,Schalte das Gerät jetzt ein.,Das Gerät ist jetzt eingeschaltet.,assistant,0
light.turn_on,Schalten Sie das Licht jetzt ein.,Das Licht wurde eingeschaltet.,assistant,0
light.turn_on,Ändere die Farbe von <device_name> zu <color>.,Die Farbe von <device_name> wurde zu <color> geändert.,assistant,0
light.turn_on,Turning on now.,Turned on.,assistant,0
light.turn_on,Setze jetzt auf <color>.,Auf <color> gesetzt.,assistant,0
light.turn_on,Schalte das Gerät jetzt ein.,Das Gerät ist jetzt eingeschaltet.,assistant,0
light.turn_on,Lege <device_name> jetzt auf eine <color>-Farbe fest.,Der <device_name> wurde auf eine <color>-Farbe festgelegt.,assistant,0
light.turn_on,Eine <color> wird gerade gesetzt.,Eine <color> wurde gesetzt.,assistant,0
light.turn_on,Ich bringe Service <color> zum Leuchten.,Service <color> leuchtet jetzt.,assistant,0
light.turn_on,Ich starte light.turn_on jetzt.,light.turn_on wurde erfolgreich ausgeführt.,assistant,0
light.turn_on,light.turn_on wird gerade ausgeführt.,light.turn_on wurde erfolgreich abgeschlossen.,assistant,0
light.turn_on,Turning on the device now.,The device is now on.,assistant,0
light.turn_on,Ein <color>-Licht wird jetzt eingeschaltet.,Das <color>-Licht ist jetzt eingeschaltet.,assistant,0
light.turn_on,Festlegen von <device_name> in <color> läuft gerade.,Festlegen von <device_name> in <color> ist abgeschlossen.,assistant,0
light.turn_on,Die Farbe von <device_name> wird jetzt auf <color> gesetzt.,Die Farbe von <device_name> wurde auf <color> gesetzt.,assistant,0
light.turn_off,Schalte <device_name> jetzt aus.,<device_name> ist jetzt ausgeschaltet.,assistant,0
light.turn_off,"Klar, <device_name> wird jetzt ausgeschaltet.","Klar, <device_name> ist jetzt ausgeschaltet.",assistant,0
light.turn_off,"Deaktivieren von <device_name> wird gerade ausgeführt, wie gewünscht.","Deaktivieren von <device_name> ist jetzt deaktiviert, wie gewünscht.",assistant,0
lock.lock,Schließe die Tür jetzt ab.,Die Tür ist jetzt abgeschlossen.,assistant,0
light.turn_off,Beep <device_name> wird jetzt ausgeschaltet,Beep <device_name> wurde ausgeschaltet,assistant,0
lock.lock,Ich gehe voran und schließe die Tür ab.,Die Tür ist jetzt abgeschlossen.,assistant,0
light.turn_off,Beep <device_name> wird deaktiviert,Beep <device_name> wurde deaktiviert,assistant,0
lock.unlock,"Entriegle die Tür jetzt, wie Sie es gewünscht haben.","Die Tür wurde entriegelt, wie Sie es gewünscht haben.",assistant,0
lock.unlock,"Klar, ich schließe die Tür jetzt auf.","Klar, die Tür ist jetzt aufgeschlossen.",assistant,0
lock.lock,"Be Sicher, das Schloss wird gesichert.","Be Sicher, das Schloss ist gesichert.",assistant,0
lock.lock,Sperre für <device_name> wird jetzt aktiviert.,Sperre für <device_name> wurde aktiviert.,assistant,0
lock.unlock,Ich schließe die Tür für dich jetzt auf.,Die Tür ist jetzt aufgeschlossen.,assistant,0
lock.lock,<device_name> wird jetzt gesichert,<device_name> wurde gesichert,assistant,0
lock.lock,<device_name> wird jetzt gesperrt,<device_name> ist jetzt gesperrt,assistant,0
lock.lock,<device_name> wird jetzt gesperrt,<device_name> ist gesperrt,assistant,0
lock.lock,Be <device_name> wird jetzt für Sie gesichert.,Be <device_name> wurde für Sie gesichert.,assistant,0
lock.unlock,<device_name> wird gerade entsperrt,<device_name> ist jetzt entsperrt,assistant,0
lock.unlock,<device_name> wird jetzt für Sie entsichert.,<device_name> ist jetzt für Sie entsperrt.,assistant,0
lock.unlock,Sperre für <device_name> wird aufgehoben.,Sperre für <device_name> wurde aufgehoben.,assistant,0
media_player.turn_on,Ich starte den Mediaplayer jetzt.,Der Mediaplayer ist jetzt gestartet.,assistant,0
media_player.turn_on,"Klar, den Mediaplayer aktivieren wir jetzt.",Der Mediaplayer ist jetzt aktiviert.,assistant,0
media_player.turn_on,Schalte den Mediaplayer jetzt für Sie ein.,Der Mediaplayer ist jetzt eingeschaltet.,assistant,0
lock.unlock,<device_name> wird jetzt entsperrt,<device_name> ist jetzt entsperrt,assistant,0
media_player.turn_off,"Klar, deaktiviere den Mediaplayer.",Der Mediaplayer ist jetzt deaktiviert.,assistant,0
media_player.turn_off,Schalte den Mediaplayer jetzt aus.,Der Mediaplayer ist jetzt ausgeschaltet.,assistant,0
media_player.turn_off,Ich schalte den Mediaplayer jetzt aus.,Der Mediaplayer ist jetzt ausgeschaltet.,assistant,0
media_player.toggle,Schalte den Mediaplayer für Sie um.,Der Mediaplayer wurde umgeschaltet.,assistant,0
media_player.toggle,Schalte den Mediaplayer jetzt ein.,Der Mediaplayer ist jetzt eingeschaltet.,assistant,0
media_player.toggle,Den Status des Media Players ändere ich gerade.,Der Status des Media Players wurde geändert.,assistant,0
media_player.volume_up,Erhöhe die Lautstärke jetzt für Sie.,Die Lautstärke ist jetzt erhöht.,assistant,0
media_player.volume_up,"Klar, ich erhöhe jetzt die Lautstärke.","Klar, die Lautstärke ist jetzt erhöht.",assistant,0
media_player.volume_up,Ich erhöhe jetzt die Lautstärke.,Die Lautstärke wurde erhöht.,assistant,0
media_player.volume_down,Die Lautstärke wird jetzt reduziert.,Die Lautstärke ist jetzt reduziert.,assistant,0
media_player.volume_down,Ich drehe die Lautstärke für dich gerade herunter.,Ich habe die Lautstärke für dich heruntergedreht.,assistant,0
media_player.volume_down,"Sicher, ich verringere die Lautstärke.",Die Lautstärke wurde verringert.,assistant,0
media_player.volume_mute,Stummschalte die Lautstärke jetzt für Sie.,Die Lautstärke ist jetzt stummgeschaltet.,assistant,0
media_player.volume_mute,Mediaplayer wird jetzt stumm geschaltet.,Der Mediaplayer ist jetzt stumm.,assistant,0
media_player.media_play_pause,Umschalten zwischen Wiedergabe und Pause wird durchgeführt.,Umschalten zwischen Wiedergabe und Pause abgeschlossen.,assistant,0
media_player.media_play_pause,Umschalten von Wiedergabe/Pause auf dem Mediaplayer läuft.,Wiedergabe/Pause auf dem Mediaplayer wurde umgeschaltet.,assistant,0
media_player.volume_mute,"Klar, mute die Lautstärke wird gerade ausgeführt.","Klar, die Lautstärke ist jetzt stumm.",assistant,0
media_player.media_play_pause,Schalte jetzt für Sie zwischen Wiedergabe und Pause um.,Ich habe für Sie zwischen Wiedergabe und Pause umgeschaltet.,assistant,0
media_player.media_play,"Sicher, die Wiedergabe startet jetzt.","Sicher, die Wiedergabe hat begonnen.",assistant,0
media_player.media_play,Starte die Medienwiedergabe.,Medienwiedergabe gestartet.,assistant,0
media_player.media_play,Ich spiele die Medien jetzt für Sie ab.,Die Medien wurden für Sie abgespielt.,assistant,0
media_player.media_pause,Pausiere die Medienwiedergabe jetzt.,Die Medienwiedergabe ist jetzt pausiert.,assistant,0
media_player.media_pause,"Klar, pausiere die Wiedergabe.",Wiedergabe pausiert.,assistant,0
media_player.media_pause,Ich pausiere die Medien jetzt für Sie.,Die Medien wurden für Sie pausiert.,assistant,0
media_player.media_stop,Stoppe die Medienwiedergabe.,Die Medienwiedergabe wurde gestoppt.,assistant,0
media_player.media_stop,Ich stoppe die Medien für Sie.,Ich habe die Medien für Sie gestoppt.,assistant,0
media_player.media_stop,"Sicher, die Wiedergabe wird jetzt angehalten.","Sicher, die Wiedergabe wurde angehalten.",assistant,0
media_player.media_next_track,Ich gehe jetzt für Sie zum nächsten Titel.,Ich habe zum nächsten Titel gewechselt.,assistant,0
media_player.media_next_track,"Klar, ich springe gleich zum nächsten Titel.","Klar, der nächste Titel läuft jetzt.",assistant,0
media_player.media_next_track,Springe jetzt zum nächsten Titel.,Zum nächsten Titel gesprungen.,assistant,0
media_player.media_previous_track,Ich kehre jetzt für Sie zum vorherigen Titel zurück.,Ich bin zum vorherigen Titel zurückgekehrt.,assistant,0
media_player.media_previous_track,Ich springe zurück zum vorherigen Titel.,Der vorherige Titel wird jetzt abgespielt.,assistant,0
media_player.volume_up,Erhöhe die Lautstärke von <device_name> jetzt.,Die Lautstärke von <device_name> wurde erhöht.,assistant,0
media_player.media_previous_track,"Klar, springe zum vorherigen Titel.","Klar, zum vorherigen Titel zurückgekehrt.",assistant,0
media_player.volume_up,Mache <device_name> lauter.,<device_name> ist jetzt lauter.,assistant,0
media_player.media_play,Wiedergabe auf <device_name> wird gestartet.,Wiedergabe auf <device_name> ist jetzt gestartet.,assistant,0
media_player.volume_up,<device_name> wird etwas aufgedreht.,<device_name> ist jetzt etwas aufgedreht.,assistant,0
media_player.media_play,Starte jetzt <device_name>.,<device_name> spielt jetzt.,assistant,0
media_player.media_stop,Stoppe die Wiedergabe auf <device_name>.,Die Wiedergabe wurde auf <device_name> gestoppt.,assistant,0
media_player.media_stop,<device_name> wird jetzt vollständig gestoppt.,<device_name> vollständig gestoppt.,assistant,0
media_player.media_play,Spiele Medien jetzt auf <device_name> ab.,Medien wurden auf <device_name> abgespielt.,assistant,0
media_player.media_stop,Sitzung wird auf <device_name> beendet.,Sitzung wurde auf <device_name> beendet.,assistant,0
media_player.volume_down,Die Lautstärke von <device_name> wird gerade verringert.,Die Lautstärke von <device_name> wurde verringert.,assistant,0
media_player.volume_mute,Stummschalte <device_name> jetzt.,Der Ton von <device_name> ist jetzt stumm.,assistant,0
media_player.volume_mute,<device_name> wird gerade stummgeschaltet.,<device_name> ist jetzt stummgeschaltet.,assistant,0
media_player.volume_down,Verringere die Lautstärke von <device_name>.,Die Lautstärke von <device_name> wurde verringert.,assistant,0
media_player.volume_down,Ich bearbeite gerade <device_name>.,<device_name> wurde abgelehnt.,assistant,0
media_player.media_pause,Ich halte <device_name> an.,Der <device_name> wurde angehalten.,assistant,0
media_player.media_pause,<device_name> wird gerade pausiert.,<device_name> ist jetzt pausiert.,assistant,0
media_player.media_next_track,Springe zum nächsten Titel auf <device_name>.,Zum nächsten Titel auf <device_name> gesprungen.,assistant,0
media_player.media_next_track,Weiter zum nächsten Song auf <device_name>.,Der nächste Song wird jetzt auf <device_name> abgespielt.,assistant,0
media_player.media_next_track,Der Titel wird jetzt auf <device_name> übersprungen.,Der Titel wurde auf <device_name> übersprungen.,assistant,0
media_player.media_pause,Ich pausiere die Wiedergabe auf <device_name>.,Die Wiedergabe auf <device_name> ist jetzt angehalten.,assistant,0
media_player.media_previous_track,Springe zum vorherigen Titel auf <device_name>.,Zurück zum vorherigen Titel auf <device_name>.,assistant,0
media_player.media_previous_track,Spule zum vorherigen Lied auf <device_name> zurück.,Zum vorherigen Lied auf <device_name> zurückgespult.,assistant,0
switch.turn_on,Schalte den Schalter jetzt ein.,Der Schalter ist jetzt eingeschaltet.,assistant,0
media_player.media_previous_track,Gehe jetzt einen Titel auf <device_name> zurück.,Der Titel wurde auf <device_name> zurückgegangen.,assistant,0
switch.turn_on,"Klar, ich mache das Licht gerade an.","Klar, das Licht ist jetzt an.",assistant,0
switch.turn_on,Ich mache weiter und schalte den Schalter jetzt ein.,Der Schalter ist jetzt eingeschaltet.,assistant,0
switch.turn_off,Schalte den Schalter jetzt aus.,Den Schalter habe ich ausgeschaltet.,assistant,0
switch.turn_off,Ich schalte das Gerät jetzt aus.,Das Gerät ist jetzt aus.,assistant,0
switch.turn_off,"Sicher, ich schalte den Schalter jetzt aus.","Sicher, der Schalter ist jetzt ausgeschaltet.",assistant,0
switch.toggle,Schalte den Schalter für Sie um.,Der Schalter ist jetzt umgeschaltet.,assistant,0
switch.toggle,Ich lege den Schalter jetzt um.,Der Schalter ist jetzt umgelegt.,assistant,0
switch.toggle,Ich ändere jetzt den Zustand des Schalters.,Der Zustand des Schalters wurde geändert.,assistant,0
switch.toggle,"Ja, <device_name> wird jetzt umgeschaltet.","Ja, <device_name> wurde umgeschaltet.",assistant,0
switch.toggle,<device_name> wird umgeschaltet.,<device_name> wurde umgeschaltet.,assistant,0
switch.toggle,"Ja, ich schalte <device_name> jetzt um.","Ja, <device_name> wurde umgeschaltet.",assistant,0
switch.toggle,"Umschalten von <device_name> wie gewünscht, wird jetzt durchgeführt.","Umschalten von <device_name> wie gewünscht, ist erledigt.",assistant,0
switch.toggle,Ändere den Status von <device_name>.,Der Status von <device_name> wurde geändert.,assistant,0
switch.toggle,<device_name> wird schnell umgeschaltet.,<device_name> ist schnell umgeschaltet.,assistant,0
switch.turn_on,Schalte <device_name> jetzt ein.,Der <device_name> ist jetzt eingeschaltet.,assistant,0
switch.turn_on,<device_name> wird jetzt aktiviert.,<device_name> wurde aktiviert.,assistant,0
switch.turn_on,Ich schalte <device_name> jetzt ein.,Ich habe <device_name> eingeschaltet.,assistant,0
switch.turn_on,"Klar, <device_name> wird eingeschaltet.","Klar, <device_name> ist jetzt eingeschaltet.",assistant,0
switch.turn_on,Schalte <device_name> jetzt nach Bedarf ein.,Ich habe <device_name> nach Bedarf eingeschaltet.,assistant,0
