reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
not_available,fan.turn_on,kuchnia,Wenty w kuchni,,Włącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,climate.turn_on,termostat_lux_geo,Termostat Lux Geo Wi-Fi,on,Włącz <device_name>,"Urządzenie już jest włączone, nie ma potrzeby zmiany."
not_available,blinds.stop_cover,solarium,Rolety przeciwsłoneczne,,Zatrzymaj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,media_player.volume_up,biuro,Biurowy odtwarzacz multimedialny,,Zwiększ głośność <device_name>,"Przepraszam, nie mogę znaleźć urządzenia <device_name> w domu."
not_available,lock.lock,pokój_muzyczny,Zamek do pokoju muzycznego,,Zamknij <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,lock.unlock,tylne_drzwi,Zamek wjazdowy na podwórko,,odblokuj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,switch.turn_off,oświetlenie_ogrodowe,Sterowanie oświetleniem ogrodu,off,Wyłącz <device_name>,"Nie mogę, bo <device_name> jest już wyłączony."
already_state,switch.turn_on,oświetlenie_teatra_domowego,Sterowanie oświetleniem kina domowego,on,Włącz <device_name>,"Przepraszam, <device_name> już jest włączony, więc nie muszę nic zmieniać."
not_available,garage_door.stop_cover,główny,Główna brama garażowa,,Zatrzymaj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,vacuum.start,under_bed_cleaner,Odkurzacz pod łóżkiem,cleaning,Uruchom <device_name>,"Odkurzacz już sprząta, nie ma potrzeby go uruchamiać ponownie."
already_state,light.turn_off,kuchnia_spiżarnia_fajna,Kuchenna spiżarnia Fajne światło,off,Wyłącz <device_name>,"Nie mogę wyłączyć, <device_name> jest już wyłączone."
not_available,vacuum.return_to_base,under_bed_cleaner,Odkurzacz pod łóżkiem,,Zwróć <device_name> do bazy,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,media_player.volume_down,sonos_living,Salon Sonosa,,Zmniejsz głośność <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,light.turn_off,parter_gabinet_mqtt,Światło w gabinecie na dole,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,climate.turn_on,johnson_glas,Johnson steruje inteligentnym termostatem GLAS,on,Włącz <device_name>,"Urządzenie jest już włączone, więc nie trzeba nic zmieniać."
already_state,climate.turn_off,gniazdo_learning,Uczący się termostat Nest,off,Wyłącz <device_name>,"Niestety, <device_name> jest już wyłączony, więc nie ma potrzeby nic zmieniać."
not_available,media_player.turn_on,sonos_sypialnia,Główna sypialnia Sonos,,Włącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,media_player.media_play_pause,kuchnia,Kuchenny odtwarzacz multimedialny,,Zatrzymaj lub odtwórz <device_name>,"Przepraszam, nie mogę znaleźć urządzenia <device_name> w domu."
not_available,climate.turn_off,mysa_smart_termostat,Inteligentny termostat Mysa do elektrycznych grzejników listwowych,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,garage_door.close_cover,schowek_na_rower,Drzwi do szopy na rowery,,Zamknij <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.increase_speed,salon,Wentylator do salonu,,Zwiększ prędkość <device_name>,"Przepraszam, nie mogę znaleźć <device_name> w domu."
not_available,vacuum.stop,under_bed_cleaner,Odkurzacz pod łóżkiem,,Zatrzymaj <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.decrease_speed,sufit_1,Wentylatory sufitowe,,Zmniejsz prędkość <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,climate.turn_off,gniazdo_learning,Uczący się termostat Nest,off,wyłącz <device_name>,"Urządzenie już jest wyłączone, więc nie ma potrzeby żadnej zmiany."
not_available,light.turn_on,sypialnia_2,Światło w sypialni,,Włącz <device_name> i ustaw kolor na żółty,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,switch.toggle,study_room_lights,Przełącznik oświetlenia w pokoju do nauki,,Przełącz <device_name>,Nie mogę znaleźć tego urządzenia w domu.
not_available,media_player.volume_down,sonos_beam,Kompaktowy soundbar Sonos,,obniż głośność <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,fan.turn_off,poddasze_1,Wentylator na poddaszu,off,wyłącz <device_name>,"Urządzenie <device_name> jest już wyłączone, więc nie muszę nic zmieniać."
already_state,lock.unlock,magazyn,Zamek do magazynu,unlocked,odblokuj <device_name>,"Urządzenie jest już odblokowane, więc nie muszę nic zmieniać."
not_available,light.toggle,salon_1,Lampy w salonie,,Przełącz <device_name>,Nie mogę znaleźć tego urządzenia w domu.
not_available,lock.lock,drzwi_kuchni,Zamek wejściowy do kuchni,,Zamknij <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,blinds.open_cover,sala_teatralna,Rolety do kina domowego,,Otwórz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,garage_door.open_cover,rv,Brama garażowa do samochodu kempingowego,open,Otwórz pokrywę <device_name>,"Nie mogę, bo <device_name> jest już otwarty i nie wymaga żadnej zmiany."
not_available,garage_door.toggle,dwa_samochody,Drzwo garażowe podwójne,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,light.turn_off,kuchnia_podłoga_cool,Chłodne światło na podłodze w kuchni,off,wyłącz <device_name>,"Światło już jest wyłączone, więc nie ma potrzeby zmiany."
not_available,media_player.volume_up,study_room_audio_book_player,Studiuj odtwarzacz książek audio,,Zwiększ głośność <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,lock.unlock,pokój_zabaw,Zamek do pokoju zabaw,unlocked,odblokuj <device_name>,"Urządzenie jest już odblokowane, więc nie muszę nic zmieniać."
not_available,switch.turn_off,oświetlenie_pokoju_pralni,Włącznik oświetlenia w pralni,,Wyłącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,vacuum.return_to_base,salon_pokój_pokojowy,Odkurzacz w salonie,docked,"Proszę, <device_name> wróć do bazy","Odkurzacz już jest w stacji dokującej, więc nie muszę nic zmieniać."
already_state,vacuum.return_to_base,przód_hall_samsung,Robot zamiatający przedpokój,docked,"Proszę, aby <device_name> wrócił do bazy","Odkurzacz już jest w stacji dokującej, więc nie ma potrzeby żadnej akcji."
not_available,switch.toggle,oświetlenie_przódowe_bramy,Włącznik świateł w bramie przedniej,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć <device_name> w domu."
not_available,fan.toggle,poddasze_1,Wentylator na poddaszu,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,fan.increase_speed,kuchnia_2,Wentylator Kuchni,,Zwiększ prędkość <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,garage_door.toggle,schowek_na_rower,Drzwi do szopy na rowery,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,lock.unlock,brama_pojazdu,Zamek bramy pojazdu,unlocked,odblokuj <device_name>,"Nie mogę tego zrobić, bo <device_name> jest już odblokowany."
not_available,vacuum.return_to_base,piwnica_deebot,Deebot z piwnicy,,"Proszę, aby <device_name> wrócił do bazy.","Przepraszam, nie mogę zlokalizować tego urządzenia w domu."
not_available,media_player.volume_down,salon_hi_fi_system,Salonowy dźwięk Hi-Fi,,Ścisz <device_name>,"Przepraszam, nie mogę znaleźć urządzenia <device_name> w domu."
not_available,garage_door.toggle,wpis_zwierzaka,Drzwi wejściowe dla zwierząt,,Przełącz <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
not_available,blinds.close_cover,salon_pokój_duży,Rolety w dużym pokoju,,Zamknij <device_name>,"Przepraszam, nie mogę znaleźć tego urządzenia w domu."
already_state,media_player.turn_off,samsung_hw_q90r,Soundbar Samsunga,off,Wyłącz <device_name>,"To urządzenie jest już wyłączone, więc nie muszę nic zmieniać."
