reason_type,service_name,device_name,friendly_name,desired_state,phrase,response
already_state,media_player.turn_on,sony_ps_lx310bt,Tocadiscos Bluetooth Sony,on,Enciende <device_name>,"Lo siento, <device_name> ya está encendido, no hay nada que cambiar."
not_available,blinds.toggle,ventana_trasera,Persianas de ventana trasera,,alternar <device_name>,"Lo siento, no puedo encontrar <device_name> en la casa."
already_state,media_player.turn_off,amazon_echo_show,Pantalla inteligente Amazon Echo,off,Apaga el <device_name>,"Lo siento, <device_name> ya está apagado, no hay nada que hacer."
not_available,garage_door.stop_cover,ascensormaster_2,ascensormaster,,detener la cubierta del <device_name>,"Lo siento, no encuentro el <device_name> en tu hogar."
already_state,media_player.media_play_pause,samsung_qled_tv,Televisor Samsung Quantum Dot,playing,Pausa <device_name>,"Ya está reproduciéndose, no es necesario pausar."
not_available,climate.turn_on,bosch_bcc100,Control conectado Bosch BCC100,,Enciende el <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,fan.turn_on,estudio_1,fanático del estudio,,Enciende el <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,fan.toggle,cobertizo,ventilador de cobertizo,,Alternar el <device_name>,"Lo siento, no encuentro el <device_name> en tu hogar."
already_state,climate.turn_off,honeywell_lyric_t6,Honeywell Letra T6 Pro,off,apaga el clima de <device_name>,"El clima ya está apagado, no es necesario hacer nada."
already_state,vacuum.return_to_base,robot_arriba_escaleras,Dispositivo para quitar el polvo encima de las escaleras,docked,Que <device_name> vuelva a la base,"El <device_name> ya está en la base, no es necesario moverlo."
not_available,vacuum.stop,frente_hall_samsung,Robot de barrido del vestíbulo,,Detener <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,vacuum.start,master_dormitorio_tiburón,aspiradora de dormitorio principal,,Inicia <device_name>,"Lo siento, no encuentro ese dispositivo en tu casa."
not_available,fan.turn_off,cobertizo,ventilador de cobertizo,,Apaga el <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
already_state,lock.lock,estudio,Bloqueo de estudio,locked,Lock <device_name>,"Lo siento, <device_name> ya está bloqueado, no es necesario hacer nada."
not_available,switch.toggle,luces_almacén,Interruptor de luces de almacén,,alternar <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu casa."
already_state,lock.unlock,trastero,Cerradura del trastero,unlocked,Desbloquear <device_name>,"Lo siento, <device_name> ya está desbloqueado, no es necesario cambiar nada."
already_state,lock.lock,oficina,Cerradura de oficina,locked,Bloquear <device_name>,"Ya está bloqueado, no es necesario cambiar nada."
not_available,garage_door.close_cover,equipo_cesped,Puerta para equipo de césped,,cierra la cubierta del <device_name>,"Lo siento, no puedo encontrar ese dispositivo en tu casa."
not_available,vacuum.return_to_base,arriba_baño_vac,Ayudante de baño de arriba,,Haz que <device_name> vuelva a la base,"Lo siento, no puedo encontrar ese dispositivo en la casa."
not_available,switch.turn_on,luces_solárium,Interruptor de luces acristaladas,,Enciende <device_name>,"Lo siento, no puedo localizar <device_name> en la casa."
not_available,fan.decrease_speed,ático_3,Ventiladores del ático,,Disminuye la velocidad del <device_name>,"Lo siento, no puedo encontrar ese dispositivo en tu casa."
not_available,climate.set_temperature,termostato_lux_geo,Termostato Wifi Lux Geo,,Configura la temperatura del <device_name> a 25 grados,"Lo siento, no puedo localizar el <device_name> en la casa."
already_state,garage_door.open_cover,invitado,Puerta de garaje para invitados,open,abre la cubierta del <device_name>,"Lo siento, la cubierta del <device_name> ya está abierta; no hay necesidad de hacer nada."
already_state,media_player.turn_off,patio,Reproductor multimedia para patio,off,apaga <device_name>,"El <device_name> ya está apagado, no es necesario hacer nada."
already_state,fan.turn_off,porche_trasero,Ventilador del porche trasero,off,Apaga el <device_name>,"Lo siento, el <device_name> ya está apagado, no hay nada que cambiar."
not_available,media_player.volume_up,chromecast,Medios Chromecast,,Sube el volumen del <device_name>,"Lo siento, no puedo localizar el dispositivo <device_name> en la casa."
not_available,climate.turn_on,termostato_zen_wifi,Termostato Zen Edición WiFi,,Enciende el <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
already_state,garage_door.close_cover,chambelán_2,Chambelán,closed,cierra la cubierta del <device_name>,"Lo siento, la cubierta ya está cerrada, no hay nada que cambiar."
not_available,fan.turn_on,porche_delantero,Ventilador del porche delantero,,Enciende el <device_name>,"Lo siento, no puedo localizar el <device_name> en la casa."
not_available,blinds.close_cover,ventana_oficina,Persianas para ventanas de oficina,,Cierra <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,lock.lock,puerta_trasera,Cerradura de puerta trasera,,cierra <device_name>,"Lo siento, no puedo encontrar ese dispositivo en la casa."
not_available,switch.turn_off,luces_taller,Interruptor de luces de taller,,apaga <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,lock.unlock,puerta_trasera,Cerradura de puerta trasera,,Desbloquea <device_name>,"Lo siento, no puedo localizar <device_name> en la casa."
not_available,lock.lock,almacenamiento_esquí,Candado para guardar esquís,,cierra la cerradura <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,vacuum.start,arriba_dyson,Eliminador de polvo de arriba,,Inicia el <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
already_state,switch.turn_off,luces_cuarto_utilidad,Interruptor de luces del lavadero,off,apaga <device_name>,"El <device_name> ya está apagado, no es necesario hacer nada."
already_state,light.turn_off,front_yard_osram,Patio delantero Osram,off,Apaga la luz de <device_name>,"Lo siento, la <device_name> ya está apagada, no hay nada que cambiar."
not_available,switch.toggle,iluminación_de_teatro_en_casa,Control de luces de cine en casa,,cambia el estado de <device_name>,"Lo siento, no puedo localizar <device_name> en tu hogar."
not_available,lock.unlock,puerta_piscina,Cerradura de puerta de piscina,,Desbloquear <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu casa."
not_available,vacuum.stop,patio_puerta_vac,Limpiador de puertas de patio,,Detén el <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,climate.set_temperature,sinope_inteligente,Termostato inteligente Sinopé,,Ajusta la temperatura del <device_name> a 27 grados,"Lo siento, no puedo localizar el <device_name> en tu hogar."
not_available,fan.decrease_speed,porche,ventilador de techo para porche,,Baja la velocidad del <device_name>,"Lo siento, no puedo encontrar el <device_name> en la casa."
not_available,climate.set_temperature,nido_aprendizaje,Termostato de aprendizaje Nest,,Ajusta la temperatura del <device_name> a 24 grados,"Lo siento, no puedo localizar el <device_name> en la casa."
already_state,climate.turn_on,johnson_glas,Termostato inteligente GLAS de Johnson Controls,on,encender el clima en <device_name>,"Lo siento, <device_name> ya está encendido, no hay nada que cambiar."
not_available,media_player.media_play_pause,bose_living,Sala de estar Bosé,,reproducir o pausar <device_name>,"Lo siento, no puedo localizar el dispositivo <device_name> en la casa."
not_available,media_player.turn_on,punto_echo,Punto eco de cocina,,Enciende <device_name>,"Lo siento, no puedo localizar el dispositivo <device_name> en tu hogar."
already_state,climate.turn_off,emerson_sensi_touch,Termostato WiFi Emerson Sensi Touch,off,Apaga el clima de <device_name>,"El dispositivo ya está apagado, no es necesario realizar ningún cambio."
not_available,lock.lock,puerta_lateral,Cerradura de puerta lateral,,Lock the <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu hogar."
not_available,lock.lock,despensa,Cerradura de despensa,,Bloquear <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en tu hogar."
not_available,media_player.volume_down,huésped_habitación_tv_set,Televisión en la habitación de huéspedes,,Baja el volumen de <device_name>,"Lo siento, no puedo encontrar el dispositivo <device_name> en la casa."
not_available,fan.increase_speed,dormitorio,Ventilador de dormitorio,,Aumenta la velocidad del <device_name>,"Lo siento, no puedo localizar el <device_name> en la casa."
not_available,fan.toggle,cocina_1,Ventiladores de cocina,,Alternar <device_name>,"Lo siento, no puedo localizar <device_name> en tu hogar."
not_available,vacuum.return_to_base,entrada_eufy,Colector de polvo de entrada,,Haz que <device_name> vuelva a la base,"Lo siento, no puedo localizar ese dispositivo en la casa."
already_state,light.turn_off,espejo_de_baño,Luces de espejo,off,apaga la luz <device_name>,"La luz ya está apagada, no hay nada que cambiar."
already_state,blinds.close_cover,claraboya,Persianas de tragaluz,closed,Cierra la persiana <device_name>,"Lo siento, <device_name> ya está cerrada, no hay nada que cambiar."
not_available,light.turn_on,front_playroom_homekit,Luz frontal de la sala de juegos,,encender <device_name>,"Lo siento, no puedo localizar ese dispositivo en la casa."
not_available,fan.turn_off,estudio_2,fanático del estudio,,Apaga el <device_name>,"Lo siento, no puedo encontrar el <device_name> en la casa."
already_state,media_player.turn_on,consola_sala_de_juegos,Consola de sala de juegos,on,Enciende <device_name>,"Ya está encendido, no es necesario cambiar nada."
