service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
fan.increase_speed,fan.oficina,ventilador de oficina,fan.oficinas,Aumenta la velocidad del ventilador de oficina,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.oficinas', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el ventilador de oficina."
garage_door.toggle,garage_door.principal_1,Puerta de garaje principal,garage_door.principal_1_main,¿Puedes abrir la puerta de garaje principal?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.principal_1_main', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Vale, lo intento con la puerta de garaje principal."
media_player.turn_on,media_player.chrome_cast_dormitorio,Dormitorio Chromecast,media_player.chromecast_dormit,"Por favor, enciende el Chromecast del dormitorio.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.chromecast_dormit', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el dispositivo correcto."
media_player.volume_down,media_player.onkyo_tx_sr,Receptor de cine en casa Onkyo,media_player.onkyo_tx_sr_receptor,Baja el volumen del receptor de cine en casa Onkyo.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.onkyo_tx_sr_receptor', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el receptor Onkyo correcto."
media_player.media_play_pause,media_player.xbox_den,Consola Xbox,media_player.xbox_den_consola,¿Puedes pausar la reproducción en la consola Xbox?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.xbox_den_consola', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el dispositivo correcto."
light.turn_off,light.kit_hogar_vivero_frontal,Luz delantera del cuarto de niños,light.kit_hogar_vivero_frontral,"Apaga la luz delantera del cuarto de niños, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.kit_hogar_vivero_frontral', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, lo intentaré con la luz correcta."
vacuum.stop,vacuum.pasillo_neato,Limpiador de caminos de pasillo,vacuum.pasill_neato,"Por favor, detén el limpiador de caminos de pasillo.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.pasill_neato', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intento con el dispositivo correcto."
fan.turn_off,fan.baño,ventilador de baño,fan.baño_ext,"Apaga el ventilador del baño, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.baño_ext', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el ventilador de baño."
switch.turn_on,switch.luces_cuarto_de_juegos,Interruptor de luces de sala de juegos,switch.luces_cuarto_juego,"Enciende las luces del cuarto de juegos, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_cuarto_juego', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el Interruptor de luces de sala de juegos."
switch.turn_on,switch.luces_sauna,Interruptor de luces de sauna,switch.luces_saun,"Por favor, enciende el interruptor de luces del sauna.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_saun', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Voy a intentar con el dispositivo correcto, switch.luces_sauna."
vacuum.return_to_base,vacuum.salón_roomba,aspiradora de salón,vacuum.salón_roboma,"Por favor, lleva la aspiradora de salón a su base.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.salón_roboma', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con vacuum.salón_roomba."
lock.unlock,lock.puerta_piscina,Puerta de piscina,lock.puerta_piscinax,"Por favor, desbloquea la puerta de la piscina","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.puerta_piscinax', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con la cerradura correcta (lock.puerta_piscina)."
light.turn_on,light.abajo_patio_mqtt,Luz del patio de abajo,light.patio_abajo_mqtt,"Por favor, enciende la luz del patio de abajo.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.patio_abajo_mqtt', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, intentaré con la luz del patio de abajo."
fan.decrease_speed,fan.dison_pure,Ventilador puro Dyson,fan.dyson_pure,Disminuye la velocidad del ventilador puro Dyson,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.dyson_pure', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el dispositivo correcto (fan.dison_pure)."
media_player.media_play_pause,media_player.nintendo_switch,interruptor de nintendo,media_player.nintedo_sw,¿Puedes pausar la reproducción en el interruptor de Nintendo?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.nintedo_sw', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el dispositivo correcto."
garage_door.toggle,garage_door.equipo_cesped,Puerta para equipo de césped,garage_door.cesped_equipo,¿Puedes abrir la puerta para el equipo de césped?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.cesped_equipo', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con la puerta para equipo de césped."
switch.turn_on,switch.luces_del_comedor,Interruptor de luces del comedor,switch.luces_del_comedor_ext,Enciende las luces del comedor,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_del_comedor_ext', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el interruptor de luces del comedor."
fan.decrease_speed,fan.dison_pure,Ventilador puro Dyson,fan.dison_pur,Baja la velocidad del ventilador puro Dyson.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.dison_pur', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el Ventilador puro Dyson."
fan.decrease_speed,fan.patio,ventilador de patio,fan.patio_ext,¿Puedes reducir la velocidad del ventilador de patio?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.patio_ext', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, ahora lo intentaré con el ventilador de patio."
vacuum.start,vacuum.robot_esquina_izquierda,Succionador de suciedad de la esquina izquierda,vacuum.robot_esquina_izqierda,"Por favor, inicia la limpieza de la esquina izquierda.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.robot_esquina_izqierda', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el Succionador de suciedad de la esquina izquierda."
light.toggle,light.cubierta_izquierda,Luz de cubierta izquierda,light.cubierta_izq_extra,"Enciende la luz de cubierta izquierda, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.cubierta_izq_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intento con la Luz de cubierta izquierda."
fan.increase_speed,fan.comedor,Ventilador del comedor,fan.comedorn,Aumenta la velocidad del ventilador del comedor.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.comedorn', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el ventilador del comedor."
media_player.volume_up,media_player.consola_sala_de_juegos,Consola de sala de juegos,media_player.consola_sala_de_jueg,Sube el volumen de la consola de sala de juegos,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.consola_sala_de_jueg', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con la consola de sala de juegos."
media_player.turn_off,media_player.ipad_cocina,iPad de cocina,media_player.ipad_cocinax,"Apaga el iPad de la cocina, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.ipad_cocinax', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el iPad de cocina."
lock.unlock,lock.puerta_frontal_1,Cerradura de entrada principal,lock.puerta_frontal_1a,¿Puedes desbloquear la puerta de entrada principal?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.puerta_frontal_1a', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con la cerradura de entrada principal."
fan.decrease_speed,fan.cuarto_de_huéspedes,ventilador de la habitación de invitados,fan.cuarto_de_huéspedes_extra,Baja la velocidad del ventilador de la habitación de invitados.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.cuarto_de_huéspedes_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, lo intentaré con el ventilador de la habitación de invitados."
blinds.open_cover,blinds.cochera,Persianas de garaje,blinds.cocherra,"Por favor, abre las persianas del garaje.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.cocherra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, ahora intentaré con las persianas de garaje."
media_player.volume_down,media_player.nintendo_switch,interruptor de nintendo,media_player.nintendo_sw,Baja el volumen del interruptor de Nintendo,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.nintendo_sw', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el interruptor de Nintendo"
light.turn_off,light.espalda_comedor_calentito,Luz cálida del comedor trasero,light.comedor_espalda_calentito,¿Puedes apagar la luz del comedor trasero?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.comedor_espalda_calentito', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Lo intentaré de nuevo con la Luz cálida del comedor trasero.
fan.turn_off,fan.isla_de_cocina,ventilador de cocina de refrigeración,fan.isla_cocina,"Apaga el ventilador de la cocina, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.isla_cocina', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, intentaré apagar el ventilador de cocina de refrigeración."
light.turn_off,light.patio_1,Luz de patio exterior,light.patio_one,"Apaga la luz del patio exterior, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.patio_one', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, intentaré con la Luz de patio exterior."
vacuum.stop,vacuum.patio_puerta_vac,Limpiador de puertas de patio,vacuum.patio_puerta_vac_extra,¿Puedes detener el limpiador de puertas de patio?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.patio_puerta_vac_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el dispositivo correcto."
light.turn_off,light.front_library_ge,Luz frontal de la biblioteca,light.front_librar_ge,"Apaga la luz frontal de la biblioteca, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.front_librar_ge', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, ahora intentaré con la Luz frontal de la biblioteca."
switch.turn_on,switch.luces_cobertizo_para_botes,Interruptor de luces del cobertizo para botes,switch.luces_cobertizo_botes_para,"Enciende las luces del cobertizo para botes, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_cobertizo_botes_para', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el dispositivo correcto."
vacuum.return_to_base,vacuum.arriba_dyson,Eliminador de polvo de arriba,vacuum.arriba_dy,"¿Puedes hacer que el Eliminador de polvo de arriba vuelva a su base, por favor?","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.arriba_dy', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el dispositivo correcto."
light.turn_off,light.abajo_zen_homekit,Luz Zen de abajo,light.zen_abajo_homekit,"Por favor, apaga la luz Zen de abajo.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.zen_abajo_homekit', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con la Luz Zen de abajo."
fan.decrease_speed,fan.porche,ventilador de techo para porche,fan.porche_izquierda,"Baja la velocidad del ventilador del porche, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.porche_izquierda', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Entendido, intentaré con el ventilador de techo para porche."
light.turn_off,light.back_entryway_lifx,Luz de entrada trasera,light.back_entryway_lifx_extra,"Apaga la luz de la entrada trasera, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.back_entryway_lifx_extra', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intento con la Luz de entrada trasera."
lock.lock,lock.perrera,Cerradura de perrera para animales,lock.perrera_ext,"Por favor, bloquea la cerradura de la perrera.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.perrera_ext', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, intentaré bloquear la cerradura de perrera."
switch.turn_off,switch.luces_pasillo,Interruptor de luces del pasillo,switch.luces_pasill,"Apaga las luces del pasillo, por favor.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.luces_pasill', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","De acuerdo, lo intentaré con el interruptor de luces del pasillo."
