service_name,correct_device_name,correct_friendly_name,bad_device_name,phrase,error_result,retry_prompt
vacuum.stop,vacuum.patio_doorway_vac,Nettoyant pour porte-patio,vacuum.patio_doorway_vacx,"Arrête le nettoyant pour porte-patio, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.patio_doorway_vacx', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaie avec le bon appareil.
climate.turn_off,climate.netatmo_smart,Thermostat Intelligent Netatmo,climate.netatmo_sma,"Éteins le thermostat intelligent Netatmo, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.netatmo_sma', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le bon appareil : climate.netatmo_smart."
switch.turn_off,switch.salle_à_manger_lights,Interrupteur d'éclairage de salle à manger,switch.salle_à_manger_lumens,Éteins les lumières de la salle à manger.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.salle_à_manger_lumens', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, j'essaie avec le bon interrupteur."
blinds.stop_cover,blinds.fenêtre_arrière,Stores de fenêtre arrière,blinds.fenêtre_arriè,Arrête les stores de la fenêtre arrière.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.fenêtre_arriè', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec les stores de fenêtre arrière."
fan.decrease_speed,fan.salle_de_bain_bas,Ventilateur dans la salle de bain du rez-de-chaussée,fan.salle_de_bain_basse,Baisse la vitesse du ventilateur de la salle de bain du rez-de-chaussée.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.salle_de_bain_basse', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaie avec le bon dispositif : fan.salle_de_bain_bas.
lock.lock,lock.porte_latérale,Serrure de portail latérale,lock.porte_latérale_ext,"Verrouille la porte latérale du garage, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.porte_latérale_ext', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec la serrure correcte."
light.toggle,light.cuisine_étagère_cool,Étagère de cuisine lumière froide,light.cuisine_étagère_cooler,Peux-tu allumer ou éteindre la lumière de l'étagère de cuisine froide ?,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.cuisine_étagère_cooler', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaye avec l'étagère de cuisine lumière froide.
climate.turn_off,climate.netatmo_smart,Thermostat Intelligent Netatmo,climate.netatmo_sma,Éteins le thermostat intelligent.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.netatmo_sma', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le thermostat Netatmo."
garage_door.open_cover,garage_door.sous_sol,Porte de garage du sous-sol,garage_door.sous_sol_porte,"Ouvre la couverture du garage du sous‑sol, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.sous_sol_porte', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec le bon appareil."
light.turn_off,light.front_recreation_ge,Lumière de loisirs avant,light.front_recreation_ge_bis,"Éteins la Lumière de loisirs avant, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.front_recreation_ge_bis', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaye avec la bonne lumière."
blinds.close_cover,blinds.salon_room_large,Stores du salon principal,blinds.salon_room_largex,Ferme les stores du salon principal.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.salon_room_largex', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec les Stores du salon principal."
vacuum.stop,vacuum.front_hall_samsung,Robot de balayage du hall d'entrée,vacuum.front_hall_samsung_pro,"Arrête le robot de balayage du hall d'entrée, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.front_hall_samsung_pro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaye avec le bon appareil."
vacuum.stop,vacuum.patio_doorway_vac,Nettoyant pour porte-patio,vacuum.patio_doorway,"Arrête le nettoyant pour porte-patio, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.patio_doorway', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaie avec le bon appareil.
vacuum.stop,vacuum.à_l'étage_salle_de_bain_vac,Aide à la salle de bain à l'étage,vacuum.à_l'étage_salle_de_bain,"Arrête le robot aspirateur de la salle de bain à l'étage, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.à_l'étage_salle_de_bain', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec le bon dispositif."
climate.turn_off,climate.mysa_smart_thermostat,Thermostat intelligent Mysa pour plinthes électriques,climate.mysa_thermostat_smart_pro,Éteins le thermostat intelligent Mysa pour plinthes électriques.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.mysa_thermostat_smart_pro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le bon thermostat."
climate.turn_on,climate.honeywell_lyric_t6,Honeywell Lyric T6 Pro,climate.honeywell_lyric_t6_pro,"Allume le chauffage dans le salon, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.honeywell_lyric_t6_pro', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le thermostat Honeywell Lyric T6."
fan.turn_on,fan.chambre_d'amis,Ventilateur de chambre d'amis,fan.chambre_amis,"Allume le ventilateur de la chambre d'amis, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='fan.chambre_amis', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaye avec le ventilateur de la chambre d'amis.
media_player.volume_down,media_player.garage_atelier_stéréo,Stéréo Garage Atelier,media_player.stéréo_garage_atelier,Baisse le volume de la Stéréo du garage atelier.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.stéréo_garage_atelier', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le bon appareil."
media_player.volume_down,media_player.sous_sol,Lecteur multimédia du sous-sol,media_player.soussol,Baisse le volume du lecteur multimédia du sous-sol.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.soussol', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, j'utilise le bon appareil : Lecteur multimédia du sous-sol."
vacuum.stop,vacuum.entrée_eufy,Dépoussiéreur d'entrée,vacuum.entr_eufy,"Arrête le dépoussiéreur d'entrée, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.entr_eufy', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaye avec le bon appareil."
climate.turn_off,climate.netatmo_smart,Thermostat Intelligent Netatmo,climate.netatmo_smar,Éteins le thermostat intelligent Netatmo.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.netatmo_smar', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le bon appareil."
light.turn_on,light.chambre_2,Lumière de la chambre,light.chambre_2_ext,"Allume la lumière de la chambre en violet, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='light.chambre_2_ext', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec la lumière de la chambre."
switch.turn_off,switch.lumières_sous_sol,Interrupteur des lumières du sous-sol,switch.lumières_sous,"Éteins les lumières du sous‑sol, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.lumières_sous', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaie avec le bon appareil : switch.lumières_sous_sol.
switch.turn_on,switch.front_gate_lighting,Interrupteur des feux de porte avant,switch.front_gate_light,"Allume les feux de la porte avant, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='switch.front_gate_light', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec l'Interrupteur des feux de porte avant."
blinds.close_cover,blinds.ikea_smart,Stores intelligents Ikea,blinds.ikea_smart_v2,"Ferme les stores intelligents Ikea, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.ikea_smart_v2', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec le bon dispositif."
blinds.stop_cover,blinds.salle_de_bain_1,Premiers stores de salle de bain,blinds.salle_de_bain_01,"Arrête les stores de la salle de bain, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.salle_de_bain_01', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le bon dispositif."
blinds.stop_cover,blinds.fenêtre_arrière,Stores de fenêtre arrière,blinds.fenêtre_arriè,Arrête les stores de la fenêtre arrière.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.fenêtre_arriè', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>",Je réessaie avec le bon appareil.
vacuum.stop,vacuum.chambre_invité_en_bas,Chambre d'amis en bas,vacuum.chambre_invité_en,"Arrête l'aspirateur de la chambre d'amis en bas, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.chambre_invité_en', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaye avec le bon appareil : vacuum.chambre_invité_en_bas."
lock.lock,lock.porte_terrasse,Serrure de porte de terrasse,lock.porte_terrasse_ext,"Verrouille la porte de la terrasse, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.porte_terrasse_ext', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec la bonne serrure : lock.porte_terrasse."
climate.turn_off,climate.emerson_sensi_touch,Thermostat Wi-Fi Emerson Sensi Touch,climate.emerson_sensi_touch_v2,Éteins le thermostat Wi‑Fi de la salle de séjour.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='climate.emerson_sensi_touch_v2', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le thermostat correct."
vacuum.stop,vacuum.couloir_neato,Nettoyant pour allées de couloir,vacuum.couloirneato,"Arrête le robot aspirateur du couloir, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.couloirneato', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, j'essaie avec le bon appareil."
vacuum.return_to_base,vacuum.salon_room_roomba,Aspirateur de salon,vacuum.salonroom_roomba_plus,"Aspirateur de salon, retourne à la base s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.salonroom_roomba_plus', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec l'Aspirateur de salon."
media_player.volume_down,media_player.cinéma_maison,Médias de cinéma maison,media_player.cinéma_maison_salon,"Baisse le volume du cinéma maison, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='media_player.cinéma_maison_salon', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec le bon appareil."
blinds.toggle,blinds.salle_de_bain,Stores de salle de bain,blinds.salle_de_bains,Ferme les stores de la salle de bain.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.salle_de_bains', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le bon dispositif."
lock.unlock,lock.chambre_2,Serrure de la deuxième chambre,lock.chambre_deux,"Peux-tu déverrouiller la serrure de la deuxième chambre, s'il te plaît ?","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='lock.chambre_deux', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec la bonne serrure de la deuxième chambre."
blinds.close_cover,blinds.chambre_d'amis,Stores de chambre d'amis,blinds.chambre_d'ami,"Ferme les stores de la chambre d'amis, s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='blinds.chambre_d'ami', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec le bon dispositif."
garage_door.stop_cover,garage_door.voiturette_de_golf,Porte de voiturette de golf,garage_door.voiturette_golf,Arrête la porte du garage de la voiturette de golf.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='garage_door.voiturette_golf', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec la porte de la voiturette de golf."
vacuum.stop,vacuum.patio_doorway_vac,Nettoyant pour porte-patio,vacuum.patio_doorway,Arrête le nettoyant pour porte-patio.,"<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.patio_doorway', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","Très bien, je réessaie avec le bon dispositif."
vacuum.return_to_base,vacuum.left_corner_bot,Aspirateur de saleté du coin gauche,vacuum.left_corn_bot,"Aspirateur de saleté du coin gauche, retourne à la base s'il te plaît.","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.NAME: 1>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name='vacuum.left_corn_bot', area_name=None, floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant='conversation', allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","D'accord, je réessaie avec l'aspirateur du coin gauche."
