service_name,device_name,english_phrase
lock.unlock,back_door,Could you disengage the back door lock
lock.unlock,bike_storage,Disengage the lock on the bike storage
lock.unlock,front_door,Unlock the front door
lock.unlock,office,Please unlock the office
lock.unlock,tool_shed,Unlock the tool shed
lock.unlock,back_door,Can you unlock the back door?
lock.unlock,patio_door,"Unlock the patio door, please."
lock.unlock,kitchen_window,Open the lock on the kitchen window.
lock.unlock,bedroom_window,Bedroom window needs to be unlocked.
lock.unlock,bathroom_window,Could you unlock the bathroom window?
lock.unlock,rooftop_door,Open the rooftop door lock.
lock.unlock,pool_gate,I'd like the pool gate unlocked.
lock.unlock,balcony_door,Unlock the balcony door for me.
lock.unlock,nursery_door,The nursery door needs to be unlocked.
lock.unlock,side_entrance,Unlock our side entrance.
lock.unlock,garage_side_door,Garage side door should be unlocked.
lock.unlock,fire_escape,Can you unlock the fire escape?
lock.unlock,boathouse_door,Unlock the boathouse door.
lock.unlock,backyard_gate,Can we have the backyard gate unlocked?
lock.unlock,back_terrace_door,Open the lock on the back terrace door.
lock.unlock,sunroom_door,Please unlock the sunroom door.
lock.unlock,playroom_door,Can you unlock the playroom door?
lock.unlock,music_room,"Unlock the music room, please."
lock.unlock,cinema_room,Cinema room needs to be unlocked.
lock.unlock,conservatory,Can the conservatory be unlocked?
media_player.media_next_track,living_room,Skip to the next track in the living room
media_player.media_next_track,basement_home_theater,Skip to the next track in the basement.
media_player.media_next_track,gym_music_player,Skip to the next song in the gym.
media_player.media_next_track,yoga_room_music,Next track for the yoga room music.
media_player.media_next_track,garden_music,Next track for the garden music.
media_player.media_pause,master_bedroom,Pause the media in the master bedroom
media_player.media_pause,bathroom_audio,Pause the bathroom audio.
media_player.media_pause,loft_tv,Pause the TV in the loft.
media_player.media_pause,laundry_room_radio,Pause the radio in the laundry room.
media_player.media_pause,corridor_intercom,Pause the corridor intercom.
media_player.media_play,nursery,Please play the media in the nursery
media_player.media_play,patio_speaker,Start playing music on the patio speaker.
media_player.media_play,sunroom_stereo,Play the stereo in the sunroom.
media_player.media_play,kids_room_storyteller,Start the storyteller in the kids' room.
media_player.media_play,cellar_jukebox,Play the jukebox in the cellar.
media_player.media_previous_track,kitchen,Play the previous track in the kitchen
media_player.media_previous_track,nursery_lullaby,Go back to the previous lullaby in the nursery.
media_player.media_previous_track,study_room_radio,Go back to the previous station in the study room.
media_player.media_previous_track,conservatory_cd_player,Previous track on the conservatory CD player.
media_player.media_previous_track,driveway_speakers,Previous track on the driveway speakers.
media_player.media_stop,nursery,Stop the media in the nursery
media_player.media_stop,guest_room_media,Stop the guest room media player.
media_player.media_stop,poolside_media,Stop the poolside media system.
media_player.media_stop,balcony_speakers,Stop the balcony speakers.
media_player.media_stop,porch_sound_system,Stop the porch sound system.
media_player.turn_off,kitchen_radio,Switch off the kitchen radio.
media_player.turn_off,lounge_entertainment,Switch off the lounge entertainment center.
media_player.turn_off,entryway_echo,Turn off the Echo in the entryway.
media_player.turn_off,wine_cellar_speakers,Power off the speakers in the wine cellar.
media_player.turn_off,mudroom_media_player,Switch off the mudroom media player.
media_player.turn_on,kitchen,Could you start the media in the kitchen
media_player.turn_on,living_room,Activate the media in the living room
media_player.turn_on,master_bedroom,Turn on the master bedroom media player
media_player.turn_on,living_room_tv,Please turn on the living room TV.
media_player.turn_on,deck_music_system,Turn on the deck's music system.
media_player.turn_on,backyard_speakers,Turn on the backyard speakers.
media_player.turn_on,foyer_sound_system,Power on the foyer sound system.
media_player.turn_on,hallway_audio,Switch on the hallway audio system.
media_player.volume_down,nursery,Turn down the volume in the nursery
media_player.volume_down,office,Can you decrease the volume in the office
media_player.volume_down,office_sound_system,Lower the volume in the office.
media_player.volume_down,game_room_speakers,Turn down the game room speakers.
media_player.volume_down,workshop_sound_system,Lower the sound system volume in the workshop.
media_player.volume_down,attic_audio_system,Decrease attic audio system volume.
media_player.volume_down,shed_sound_system,Turn down the shed sound system.
media_player.volume_mute,living_room,Mute the media player in the living room
media_player.volume_mute,garage_stereo,Mute the stereo in the garage.
media_player.volume_mute,library_soundbar,Mute the soundbar in the library.
media_player.volume_mute,art_studio_player,Mute the media player in the art studio.
media_player.volume_mute,boathouse_stereo,Mute the stereo in the boathouse.
media_player.volume_mute,treehouse_speakers,Mute the treehouse speakers.
media_player.volume_up,kitchen,Please raise the volume in the kitchen
media_player.volume_up,living_room,Turn up the volume in the living room
media_player.volume_up,master_bedroom,Can you increase the volume on the master bedroom media player
media_player.volume_up,bedroom_speaker,Can you increase the volume in the bedroom?
media_player.volume_up,dining_area_jukebox,Increase the jukebox volume in the dining area.
media_player.volume_up,rooftop_deck_audio,Raise the rooftop audio volume.
media_player.volume_up,greenhouse_radio,Increase the greenhouse radio volume.
media_player.volume_up,utility_room_radio,Turn up the utility room radio.
switch.toggle,tp_link_kasa_porch,Toggle the porch lights.
switch.toggle,honeywell_home_office,Toggle the office lights.
switch.toggle,sonoff_dining_room,Toggle the dining room lights.
switch.toggle,osram_hallway,Toggle the hallway lights.
switch.toggle,koogeek_basement,Toggle the basement lights.
switch.toggle,arlo_floodlights,Toggle the security floodlights.
switch.toggle,broadlink_kitchenette,Toggle the kitchenette lights.
switch.toggle,kasa_living_room,Toggle the living room lights.
switch.toggle,home_office_dimmer,Toggle the home office dimmer.
switch.toggle,kitchen_under_cabinet,Toggle the kitchen under cabinet lights.
switch.turn_off,belkin_wemo_garage,Turn off the garage switch.
switch.turn_off,lutron_caseta_bedroom,Turn off the bedroom lights.
switch.turn_off,samsung_smartthings_security,Turn off the security system.
switch.turn_off,fibaro_pool,Turn off the pool lights.
switch.turn_off,ecobee_garden,Turn off the garden lights.
switch.turn_off,insteon_patio,Turn off the patio lights.
switch.turn_off,yeelight_sunroom,Turn off the sunroom lights.
switch.turn_off,meross_walkway,Turn off the walkway lighting.
switch.turn_off,xiaomi_bedside,Turn off the bedside lamp.
switch.turn_off,ikea_guest_room,Turn off the guest room lights.
switch.turn_off,tuya_shed,Turn off the shed light switch.
switch.turn_off,hue_bedroom_2,Turn off the second bedroom lights.
switch.turn_off,radiant_office,Turn off the office lights.
switch.turn_off,z_wave_guest_bathroom,Turn off the guest bathroom fan.
switch.turn_off,patio_heater_switch,Turn off the patio heater.
switch.turn_off,kitchen_fan,Please turn off the kitchen fan.
switch.turn_off,poolside_lanterns,Deactivate the poolside lanterns.
switch.turn_off,backyard_floodlight,Can you shut off the backyard floodlight?
switch.turn_off,laundry_area,Please switch off the laundry area lights.
switch.turn_off,basement_sconces,Can we turn down the basement sconces?
switch.turn_off,sunroom_blinds,"I'd like the sunroom blinds closed, please."
switch.turn_off,patio_string_lights,Switch off the string lights on the patio.
switch.turn_off,kitchen_island,Disable the kitchen island lights.
switch.turn_off,garage_worklight,Can we power down the garage worklight?
switch.turn_off,home_cinema,Please turn off the home cinema lights.
switch.turn_off,dining_room_dimmer,Set the dining room lights to off.
switch.turn_off,art_studio_spots,Please disable the art studio spotlights.
switch.turn_off,back_entry,Shut down the back entry lights.
switch.turn_off,veranda_fairy_lights,"Switch off the veranda fairy lights, please."
switch.turn_off,walk_in_closet,Disable the walk-in closet lights.
switch.turn_off,bathroom_mirror,Can you turn off the bathroom mirror light?
switch.turn_off,storage_room,Please power down the storage room lights.
switch.turn_off,conservation_area,Deactivate the conservation area lighting.
switch.turn_off,hobby_room,Could we turn off the hobby room lights?
switch.turn_off,rear_terrace,Can you dim the lights on the rear terrace?
switch.turn_on,philips_hue_living_room,Turn on the living room lights.
switch.turn_on,legrand_radiant_kitchen,Turn on the kitchen lights.
switch.turn_on,ge_z_wave_bathroom,Turn on the bathroom fan.
switch.turn_on,eve_energy_balcony,Turn on the balcony lighting.
switch.turn_on,nest_thermostat_terrace,Turn on the terrace thermostat.
switch.turn_on,wink_relay_driveway,Turn on the driveway lights.
switch.turn_on,sengled_deck,Turn on the deck lighting.
switch.turn_on,gosund_attic,Turn on the attic light switch.
switch.turn_on,nanoleaf_stairway,Turn on the stairway lights.
switch.turn_on,wyze_study,Turn on the study room lights.
switch.turn_on,netatmo_front_yard,Turn on the front yard lighting.
switch.turn_on,moeshouse_gym,Turn on the gym lighting.
switch.turn_on,wemo_laundry_room,Turn on the laundry room lights.
switch.turn_on,caseta_hallway_2,Turn on the second hallway lights.
switch.turn_on,security_camera_light,Turn on the security camera light.
switch.turn_on,hallway_dimmer,Could you dim the hallway lights?
switch.turn_on,garden_spotlights,Activate the garden spotlights.
switch.turn_on,front_porch_sensor,Engage the front porch sensor light.
switch.turn_on,staircase_light_strip,Could you light up the staircase light strip?
switch.turn_on,office_desk_lamp,Illuminate the desk lamp in my office.
switch.turn_on,library_ceiling,Engage the ceiling lights in the library.
switch.turn_on,guest_bathroom,"Light up the guest bathroom, please."
switch.turn_on,entryway_chandelier,Illuminate the entryway chandelier.
switch.turn_on,bedroom_track_lighting,Brighten the bedroom track lighting.
switch.turn_on,balcony_mood_lighting,Activate the mood lighting on the balcony.
switch.turn_on,playroom_nightlight,Can you turn on the playroom nightlight?
switch.turn_on,foyer_wall_sconce,Light up the foyer wall sconce.
switch.turn_on,corridor_track,Brighten up the corridor track lights.
switch.turn_on,master_suite,Set the master suite to nighttime mode.
switch.turn_on,roof_deck,Engage the roof deck lighting.
switch.turn_on,wine_cellar,Illuminate the wine cellar.
switch.turn_on,gym_ceiling,Light up the gym ceiling lights.
switch.turn_on,front_lawn,Activate the front lawn spotlights.
vacuum.kitchen,Please turn on the kitchen vacuum.,start
vacuum.living_room,Could you please activate the living room vacuum?,start
vacuum.dining_room,The dining room vacuum needs to be started.,start
vacuum.bedroom1,Let's start the vacuum in bedroom one.,start
vacuum.bedroom2,Can you please turn on the vacuum for bedroom two?,start
vacuum.study,The study vacuum should be activated.,start
vacuum.library,May I ask you to start the library vacuum?,start
vacuum.office,Please initiate the office vacuum.,start
vacuum.entrance_hall,Could you please turn on the entrance hall vacuum?,start
vacuum.sunroom,The sunroom vacuum needs to be started.,start
vacuum.patio,Let's activate the patio vacuum.,start
vacuum.garage,"Can we clean up the garage, please?",start
vacuum.workshop,May I request you to turn on the workshop vacuum?,start
vacuum.utility_room,Please clean the utility room.,start
vacuum.mud_room,Could you please clean up the mud room?,start
vacuum.powder_room,The powder room needs to be cleaned.,start
vacuum.hallway,Let's turn on the hallway vacuum.,start
vacuum.staircase,Can we please start the staircase vacuum?,start
vacuum.balcony,May I ask you to clean the balcony?,start
vacuum.roof_deck,Please roof deck is dirty.,start
vacuum.attic,Let's start the attic vacuum.,start
vacuum.basement,"Can we turn on the basement vacuum, please?",start
vacuum.pool_area,The pool area vacuum needs to be started.,start
vacuum.garden,Could you please activate the garden vacuum?,start
vacuum.terrace,May I request you to start the terrace vacuum?,start
vacuum.porch,Please initiate the porch vacuum.,start
vacuum.shed,"Can we turn on the shed vacuum, please?",start
vacuum.workshop2,The second workshop is pretty dirty right now.,start
vacuum.studio,May I ask you to start the studio vacuum?,start
vacuum.greenhouse,Please initiate the greenhouse vacuum.,start
vacuum.potting_shed,"Can we turn on the potting shed vacuum, please?",start
vacuum.summer_house,The summer house vacuum needs to be started.,start
vacuum.garage2,Let's start the second garage vacuum.,start
vacuum.tool_shed,May I request you to activate the tool shed vacuum?,start
vacuum.barn,Could we please turn on the barn vacuum?,start
vacuum.wine_cellar,The wine cellar should be cleaned.,start
vacuum.storage_room,Let's initiate the storage room cleanup.,start
vacuum.greenhouse2,May I ask you to activate the second greenhouse vacuum?,start
vacuum.boat_house,Please turn on the boat house vacuum.,start
vacuum.marina,Could we please start the marina vacuum?,start
vacuum.bb8,Turn on BB8.,start
vacuum.c3po,Can you start C3PO?,start
vacuum.hal,Please turn on Hal.,start
vacuum.r2d2,Can you tell R2D2 to clean up?,start
todo.groceries,Add milk to my groceries list.,add_item
todo.household_supplies,Could you please add eggs to my household supplies list?,add_item
todo.electronics,I would like you to add a new printer to the electronics list.,add_item
todo.clothing,Kindly add a shirt to the clothing list for me.,add_item
todo.office_supplies,Could you please add paper clips to the office supplies list?,add_item
todo.personal_care,I would appreciate it if you could add toothpaste to my personal care list.,add_item
todo.technology,I'd like you to add a new phone to the technology list.,add_item
todo.gifts,Could you please add a gift card to the gifts list?,add_item
todo.books,I would like you to add a novel to the books list.,add_item
todo.music,Could you please add Halsey's new album to my music list?,add_item
todo.movies,Could you kindly add Batman Begins to the movies list for me?,add_item
todo.travel,I would appreciate it if you could add Scotland to the travel list.,add_item
todo.education,I'd like you to add a language course to the education list.,add_item
todo.health,Could you please add a doctor's appointment to my health list?,add_item
todo.finance,"I would like you to add ""Pay Power Bill"" to the finance list.",add_item
todo.shopping_list,Could you please add bread to the shopping list?,add_item
todo.household_supplies_list,"Could you kindly add a ""Walnut Credenza"" to the projects list?",add_item
todo.electronics_list,I would like you to add a new laptop to the electronics list.,add_item
todo.clothing_list,Kindly add pants to the clothing list for me.,add_item
todo.office_supplies_list,Could you please add staples to the office supplies list?,add_item
todo.personal_care_list,I would appreciate it if you could add razorblades to my personal care list.,add_item
todo.technology_list,I'd like you to add a new computer to the technology list.,add_item
todo.gifts_list,Could you please add a socks to the gifts list?,add_item
todo.books_list,"I would like you to add ""Treasure Island"" to the books list.",add_item
todo.music_list,Could you please add Taylor Swift's new album to my music list?,add_item
todo.movies_list,Could you kindly add Pulp Fiction to the movies list for me?,add_item
todo.travel_list,I would appreciate it if you could add Japan to the travel list.,add_item
todo.education_list,I'd like you to add a language course to the education list.,add_item
todo.health_list,Could you please add a doctor's appointment to my health list?,add_item
todo.finance_list,"I would like you to add ""Pay Phone Bill"" to the finance list.",add_item
todo.grocery_list,"Could you please add ""Vinegar"" to the shopping list?",add_item
todo.projects,"Could you kindly add a ""Maple Bench"" to the projects list?",add_item
input_select.nature_sounds,"Could you set the nature sounds to ""thunderstorm"", please?",select_option
input_select.people,"Can you set the people select to ""John""?",select_option
input_select.who_cooks,Can you change who cooks to Paulus please?,select_option
input_select.living_room_scene,Change the living room scene to Movie Time.,select_option
input_select.alarm_status,"Set the alarm status to ""Armed"".",select_option
input_select.roof_light_preset,"Change the roof light preset to ""Candy Cane"".",select_option
input_select.roof_light_preset,"Please set ""Halloween"" for the roof light preset"".",select_option
input_select.roof_light_preset,"Turn the roof light preset to ""Twinkle"".",select_option
input_select.nature_sounds,"Turn ""off"" the nature sounds.",select_option
input_select.nature_sounds,"Set nature sounds to ""Windy Mountain"".",select_option
timer.pomodoro,Please set my pomodoro timer for 20 minutes.,start
timer.kitchen,Turn on the kitchen timer for 8 minutes.,start
timer.work,Set the work timer for 10 minutes.,start
timer.laundry,Start the laundry timer for an hour.,start
timer.cooking,Set a 30 second cooking timer.,start
timer.pomodoro,Cancel the pomodoro timer.,cancel
timer.kitchen,Please stop my kitchen timer.,cancel
timer.work,Turn off the work timer.,cancel
timer.laundry,Please shut off the laundry timer.,cancel
timer.cooking,The cooking timer is no longer needed.,cancel
light.bar_light,Please switch off the bar light,turn_off
light.bar_light,Turn off bar light,turn_off
light.bar_light,Turn off the bar light,turn_off
light.dining_room_light,Deactivate dining room light,turn_off
light.dining_room_light,Shut off dining room light,turn_off
light.dining_room_light,Toggle the dining room light,turn_off
light.front_light,Can we power down the front light?,turn_off
light.front_light,Can we turn down the front light?,turn_off
light.front_light,Can you turn off the lights on the front?,turn_off
light.gym_light,Can you shut off the gym light?,turn_off
light.gym_light,Can you turn off the gym light?,turn_off
light.gym_light,Could we turn off the gym lights?,turn_off
light.island_light,Could you disable the island light,turn_off
light.island_light,Deactivate the island light,turn_off
light.island_light,Deactivate the island area lighting.,turn_off
light.kitchen_light,Deactivate the kitchen light,turn_off
light.kitchen_light,Deactivate the lights at the kitchen.,turn_off
light.kitchen_light,Disable the lights in the kitchen.,turn_off
light.living_room_light,living room light off,turn_off
light.living_room_light,Disable the living room lights.,turn_off
light.living_room_light,Please disable the living room light.,turn_off
light.main_basement_light,Please extinguish the main basement light,turn_off
light.main_basement_light,Please power down the lights in the main basement.,turn_off
light.main_basement_light,Please switch off the main basement light,turn_off
light.man_cave_light,Please switch off the man cave area lights.,turn_off
light.man_cave_light,Please turn off the man cave lights.,turn_off
light.man_cave_light,Please turn off the man cave light.,turn_off
light.master_bedroom_light,Power off the lights in the master bedroom.,turn_off
light.master_bedroom_light,Set the master bedroom lights to off.,turn_off
light.master_bedroom_light,Shut down the master bedroom lights.,turn_off
light.pool_table_light,Shut down the pool table light,turn_off
light.pool_table_light,Switch off the pool table light,turn_off
light.pool_table_light,Switch off the pool table light please,turn_off
light.pool_table_light,Switch off the pool table light now,turn_off
light.pool_table_light,Switch off the pool table lights,turn_off
light.pool_table_light,Switch off the light in the pool table,turn_off
light.pool_table_light,Switch off the pool table light,turn_off
light.pool_table_light,Turn off the pool table light,turn_off
light.pool_table_light,Turn off the pool table light please,turn_off
light.pool_table_light,Turn off the pool table light now,turn_off
light.pool_table_light,You can turn off the pool table light now,turn_off
light.pool_table_light,Turn off the pool table lights.,turn_off
light.pool_table_light,Turn off the pool table light please.,turn_off
light.pool_table_light,Turn off the pool table light,turn_off
light.pool_table_light,Turn off the light in the pool table.,turn_off
light.pool_table_light,Turn off the pool table light,turn_off
light.pool_table_light,Turn off the light in the pool table,turn_off
light.pool_table_light,Turn the pool table light off,turn_off
light.porch_light,Please switch off the porch light,turn_off
light.porch_light,Turn off porch light,turn_off
light.porch_light,Turn off the porch light,turn_off
light.porch_light,Deactivate porch light,turn_off
light.porch_light,Shut off porch light,turn_off
light.porch_light,Toggle the porch light,turn_off
light.porch_light,Can we power down the porch light?,turn_off
light.porch_light,Can we turn down the porch light?,turn_off
light.porch_light,Can you turn off the lights on the porch?,turn_off
light.porch_light,Can you shut off the porch light?,turn_off
light.porch_light,Can you turn off the porch light?,turn_off
light.porch_light,Could we turn off the porch lights?,turn_off
light.porch_light,Could you disable the porch light,turn_off
light.porch_light,Deactivate the porch light,turn_off
light.porch_light,Deactivate the porch area lighting.,turn_off
light.porch_light,Deactivate the porch light,turn_off
light.porch_light,Deactivate the light on the porch,turn_off
light.porch_light,Deactivate the porch light,turn_off
light.porch_light,Deactivate the porch light,turn_off
light.porch_light,Deactivate the porch light,turn_off
light.porch_light,Deactivate the lights at the porch.,turn_off
light.porch_light,Disable the lights in the porch.,turn_off
light.porch_light,porch light off,turn_off
light.porch_light,Disable the porch lights.,turn_off
light.porch_light,Please disable the porch light.,turn_off
light.porch_light,Please extinguish the porch light,turn_off
light.porch_light,Please power down the lights in the porch.,turn_off
light.porch_light,Please switch off the porch light,turn_off
light.porch_light,Please switch off the porch area lights.,turn_off
light.porch_light,Please turn off the porch lights.,turn_off
light.porch_light,Please turn off the porch light.,turn_off
light.porch_light,Power off the lights in the porch.,turn_off
light.porch_light,Set the porch lights to off.,turn_off
light.porch_light,Shut down the porch lights.,turn_off
light.porch_light,Shut down the porch light,turn_off
light.porch_light,Switch off the porch light,turn_off
light.porch_light,Switch off the porch light please,turn_off
light.porch_light,Switch off the porch light now,turn_off
light.porch_light,Switch off the porch lights,turn_off
light.porch_light,Switch off the light in the porch,turn_off
light.porch_light,Switch off the porch light,turn_off
light.porch_light,Turn off the porch light,turn_off
light.porch_light,Turn off the porch light please,turn_off
light.porch_light,Turn off the porch light now,turn_off
light.porch_light,You can turn off the porch light now,turn_off
light.porch_light,Turn off the porch lights.,turn_off
light.porch_light,Turn off the porch light please.,turn_off
light.porch_light,Turn off the porch light,turn_off
light.porch_light,Turn off the light in the porch.,turn_off
light.porch_light,Turn off the porch light,turn_off
